Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
16,0.71,0.48,0.95,50,4,5,binary tree
32,0.76,0.48,1.02,50,4,5,binary tree
64,1.16,0.49,1.76,50,4,5,binary tree
128,1.39,1.03,1.67,50,4,5,binary tree
256,1.77,1.39,2.14,50,4,5,binary tree
512,1.67,1.26,2.06,50,4,5,binary tree
1024,2.12,1.55,2.6,50,4,5,binary tree
2048,2.27,1.11,3.14,50,4,5,binary tree
4096,3.05,1.39,4.44,50,4,5,binary tree
8192,6.41,5.43,7.72,50,4,5,binary tree
16384,9.3,6.38,12.39,50,4,5,binary tree
32768,13.09,9.56,16.72,50,4,5,binary tree
65536,18.32,13.62,22.7,50,4,5,binary tree
131072,32.55,23.24,41.24,50,4,5,binary tree
262144,46.71,28.26,65.38,50,4,5,binary tree
524288,83.51,56.53,110.79,50,4,5,binary tree
1048576,143.11,98.83,187.66,50,4,5,binary tree
1,2.15,0.25,4.03,50,8,5,binary tree
2,1.95,0.16,3.74,50,8,5,binary tree
4,2.01,0.16,3.9,50,8,5,binary tree
8,2.27,0.15,4.25,50,8,5,binary tree
16,2.08,0.16,4.01,50,8,5,binary tree
32,2.15,0.16,4.12,50,8,5,binary tree
64,2.55,0.16,5.11,50,8,5,binary tree
128,4.65,2.24,6.81,50,8,5,binary tree
256,3.16,0.52,5.88,50,8,5,binary tree
512,3.32,0.52,6.21,50,8,5,binary tree
1024,4.09,0.77,7.01,50,8,5,binary tree
2048,5.02,1.55,8.08,50,8,5,binary tree
4096,6.63,2.52,10.29,50,8,5,binary tree
8192,6.48,1.21,11.71,50,8,5,binary tree
16384,16.48,8.4,23.72,50,8,5,binary tree
32768,16.53,5.63,27.28,50,8,5,binary tree
65536,28.31,8.79,47.09,50,8,5,binary tree
131072,44.4,15.47,69.64,50,8,5,binary tree
262144,84.99,30.88,127.96,50,8,5,binary tree
524288,153.8,52.11,232.54,50,8,5,binary tree
1048576,303.04,113.22,453.36,50,8,5,binary tree
