Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
262144,131.36,35.93,210.57,20000,8,1,basic linear
524288,253.28,74.98,391.73,20000,8,1,basic linear
1,3.2,0.33,6.76,20000,16,1,basic linear
2,3.22,0.35,6.78,20000,16,1,basic linear
4,3.32,0.42,6.94,20000,16,1,basic linear
8,3.19,0.33,6.72,20000,16,1,basic linear
16,3.2,0.33,6.75,20000,16,1,basic linear
32,3.4,0.29,7.09,20000,16,1,basic linear
64,3.5,0.22,7.31,20000,16,1,basic linear
128,4.23,0.26,8.34,20000,16,1,basic linear
256,5.15,0.3,10.12,20000,16,1,basic linear
512,5.32,0.32,10.41,20000,16,1,basic linear
1024,5.67,0.26,11.0,20000,16,1,basic linear
2048,6.2,0.36,11.15,20000,16,1,basic linear
4096,7.84,0.73,13.29,20000,16,1,basic linear
8192,11.27,0.96,19.28,20000,16,1,basic linear
16384,18.39,1.74,31.27,20000,16,1,basic linear
32768,33.02,3.48,57.38,20000,16,1,basic linear
65536,61.72,6.1,104.6,20000,16,1,basic linear
131072,120.47,11.25,201.72,20000,16,1,basic linear
262144,290.9,39.0,502.71,20000,16,1,basic linear
524288,548.64,86.23,908.2,20000,16,1,basic linear
1,5.18,0.27,11.58,20000,32,1,basic linear
2,5.2,0.25,11.62,20000,32,1,basic linear
4,5.17,0.24,11.57,20000,32,1,basic linear
8,5.18,0.25,11.57,20000,32,1,basic linear
16,5.18,0.27,11.57,20000,32,1,basic linear
32,5.39,0.22,11.95,20000,32,1,basic linear
64,5.64,0.27,12.84,20000,32,1,basic linear
128,7.8,0.45,16.16,20000,32,1,basic linear
256,8.44,0.36,16.76,20000,32,1,basic linear
512,8.96,0.37,17.5,20000,32,1,basic linear
1024,9.83,0.42,18.89,20000,32,1,basic linear
2048,11.26,0.44,19.73,20000,32,1,basic linear
4096,14.71,0.71,24.35,20000,32,1,basic linear
8192,23.75,1.09,39.67,20000,32,1,basic linear
16384,40.02,2.03,67.25,20000,32,1,basic linear
