Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
8,9.95,0.42,25.62,20000,64,3,pipeline
16,10.01,0.42,25.89,20000,64,3,pipeline
32,10.64,0.43,26.69,20000,64,3,pipeline
64,10.99,0.42,27.65,20000,64,3,pipeline
128,12.82,0.42,30.83,20000,64,3,pipeline
256,12.94,0.42,31.03,20000,64,3,pipeline
512,14.39,0.42,33.89,20000,64,3,pipeline
1024,15.98,0.42,36.51,20000,64,3,pipeline
2048,19.97,0.48,44.84,20000,64,3,pipeline
4096,25.88,0.55,56.48,20000,64,3,pipeline
8192,38.2,0.65,80.51,20000,64,3,pipeline
16384,129.18,3.03,255.66,20000,64,3,pipeline
32768,194.83,4.38,384.11,20000,64,3,pipeline
65536,327.56,7.39,638.2,20000,64,3,pipeline
131072,610.56,14.67,1184.16,20000,64,3,pipeline
262144,1215.49,33.53,2350.82,20000,64,3,pipeline
524288,2448.75,70.4,4725.56,20000,64,3,pipeline
1,23.93,0.39,58.03,20000,128,3,pipeline
2,24.05,0.39,59.17,20000,128,3,pipeline
4,22.62,0.39,55.65,20000,128,3,pipeline
8,23.53,0.38,57.51,20000,128,3,pipeline
16,22.64,0.39,55.69,20000,128,3,pipeline
32,24.06,0.38,58.33,20000,128,3,pipeline
64,24.62,0.39,59.32,20000,128,3,pipeline
128,29.29,0.42,67.74,20000,128,3,pipeline
256,28.63,0.4,66.97,20000,128,3,pipeline
512,32.1,0.4,73.79,20000,128,3,pipeline
1024,32.96,0.41,75.14,20000,128,3,pipeline
2048,43.44,0.44,96.14,20000,128,3,pipeline
4096,56.17,0.52,121.28,20000,128,3,pipeline
8192,80.2,0.64,168.18,20000,128,3,pipeline
16384,277.63,3.38,556.85,20000,128,3,pipeline
32768,419.23,4.77,836.93,20000,128,3,pipeline
65536,726.86,8.43,1451.67,20000,128,3,pipeline
131072,1299.09,16.98,2579.56,20000,128,3,pipeline
